thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
8.999,9.0,0.025,1878.32,2055.26,1872.08,1593.57,13.72953022,34.4199982,146.06,-91.33331299,33.50012207,63.4216995,4.0,1.93444252,-139.7749939,-29.447500199999997,100005.0,136.951004,40.8074989
10.995999999999999,11.0,0.0072,2150.42,1360.69,1210.92,1011.64,9.617692031,32.4700012,156.57,16.66668701,51.50012207,59.04700089999999,4.0,1.57127142,-111.0660019,-34.5653,158396.0,117.0049973,120.6149979
10.005,10.5,0.027000001000000003,1121.3,3490.12,4590.06,1904.4,81.304985,40.0,1091.71,98.66668701,70.50012207,37.3278,1.0,2.1587842,227.06700130000002,-32.1216011,246492.0,72.1125031,257.0
17.003,17.0,0.0294,1132.92,1114.45,1921.25,727.05,13.28533026,38.7299995,573.48,-115.33331299999999,56.50012207,58.202701600000005,1.0,2.36465883,-96.4406967,-44.0015984,244656.0,45.35940170000001,545.1439819
19.998,20.0,0.0272,1226.58,335.37,352.99,104.79,10.12422837,36.3699989,290.82,33.66668701,38.50012207,76.47869870000001,6.0,0.67653686,-39.6180992,-31.7873993,54195.69922,29.040399600000004,906.9860229000001
20.499000000000002,22.0,0.0033,1195.75,274.46,1868.74,29.57,8.631338099999999,54.33000183,618.82,-70.33331299,-35.5,90.4416,6.0,1.456432,1.68293,-47.3013,59047.80078,-12.0417004,2524.0
8.0,7.997999999999999,-0.0319,419.63,105.15,292.3,321.29,10.70046728,26.1299992,165.17,-79.33331299,9.50012207,44.543201399999994,5.0,0.90530998,-124.3759995,-29.090599100000002,162088.0,280.4580078,285.6929932
15.001,14.0,0.0211,1800.99,3005.76,4039.74,1718.78,61.224994900000006,38.00999829999999,1507.19,80.66668701,60.50012207,57.810798600000005,2.0,1.75880814,63.9710999,-36.8278999,187251.0,67.1660004,92.33119959999999
21.003,24.0,-0.0029,2299.95,384.57,1570.28,130.4,14.30034965,73.0,18.53,-71.33331299,-14.5,42.958999600000006,3.0,1.37454307,31.146400500000002,-91.3951035,151208.0,-240.88099669999997,4180.819824
15.003,14.0,-0.0053,3236.35,1972.53,3311.26,1585.44,23.6326046,45.8499985,1776.56,-52.33331299,-18.5,64.0906982,2.0,1.9920794999999998,-19.1592007,-37.12829970000001,226311.0,52.35620120000001,763.3950195
9.995,11.01,-0.0195,1584.71,2186.63,2021.88,1471.08,9.617692031,35.1899986,671.73,11.66668701,58.50012207,54.1721001,2.0,2.0315876,172.0379944,-37.165000899999995,125951.0,84.6067963,65.6594009
15.001,15.0,0.033500001,1948.21,2328.73,3508.38,1487.28,56.57296174,38.0,1322.07,78.66668701,55.50012207,43.914299,2.0,1.6885854,69.83339690000001,-39.7169991,79950.29688,71.80079649999999,120.77400209999999
9.502,12.0,0.023600001000000002,632.29,1955.78,3063.57,1446.24,66.54697589,41.0,533.02,132.66668700000002,61.50012207,49.2221985,4.0,2.43872929,33.599399600000005,-31.2276001,170049.0,103.93499759999999,281.63500980000003
17.498,17.0,-0.0077,2285.2,1447.4,2659.52,1264.11,50.20458146,45.25,1084.22,77.66668701,47.50012207,30.938299199999996,3.0,1.50249422,65.7220993,-34.2332993,99232.70313,5.7714099999999995,637.6300049
15.003,16.0,0.0087,860.57,3023.97,2883.24,1491.46,20.11218536,43.7299995,767.67,18.66668701,66.50012207,46.126499200000005,2.0,2.12544179,5.5605998,-40.645401,206492.0,80.90090179999999,527.6729736000001
