thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
0.66,1.47,-0.029100001,605.77,416.49,424.46,715.23,2995.892901344363,6.89,666.52,-71.5,-60.5,10.0,1.1343,1.54075229168,-12.344085,21231.41289,470.973510742,-4262
0.68,1.48,-0.034400001,564.2,385.32,390.06,676.85,3009.885621537661,7.02,622.12,-70.5,-60.5,10.0,1.1343,5.98097610474,-13.054813000000001,22076.23482,465.608428955,-4204
0.68,1.5,-0.034600001,523.93,358.99,361.46,640.21,3025.542355554241,7.04,578.95,-69.5,-60.5,10.0,1.1343,9.45328044891,-13.467889999999999,22409.17015,459.491333008,-4145
0.68,1.5,-0.037000000000000005,483.31,339.63,337.52,605.44,3042.8347030912564,7.01,537.34,-68.5,-60.5,12.0,0.970025,10.4902229309,-13.712038,23932.199480000003,453.104675293,-3862
0.68,1.51,-0.0469,445.11,327.55,309.48,572.68,3061.7319517809487,7.04,497.69,-67.5,-60.5,12.0,1.21069,8.3495092392,-14.599594,25524.608610000003,447.428924561,-3512
0.65,1.44,-0.053300001,409.17,324.7,283.08,541.88,3082.201302738143,6.73,460.5,-66.5,-60.5,10.0,1.21069,3.59096097946,-15.810956,30778.41949,443.73626709,-3196
0.69,1.51,-0.055199999000000013,374.38,331.82,258.29,500.48,3104.2081010968973,7.07,426.44,-65.5,-60.5,10.0,1.21069,-2.50345563889,-16.104553,35989.89105,442.867370605,-3052
0.68,1.49,-0.049199998,343.78,348.32,233.78,461.18,3127.7160681481046,6.98,395.06,-64.5,-60.5,10.0,1.21069,-7.62966489792,-15.16795,37608.48236,444.410003662,-3472
0.68,1.49,-0.0396,318.94,372.95,212.7,424.54,3152.687531935999,6.98,364.52,-63.5,-60.5,10.0,1.07192,-9.32989120483,-13.838412,39192.61932,446.349334717,-3682
0.67,1.47,-0.032200001,289.86,404.21,185.25,391.25,3179.0836534746045,6.98,333.58,-62.5,-60.5,10.0,1.07192,-6.17783975601,-12.78105,39382.86209,446.140228271,-3834
0.67,1.46,-0.025599999,265.99,440.7,157.56,362.17,3206.8646460888726,7.0,305.65,-61.5,-60.5,10.0,1.07192,2.62021327019,-11.996636,40293.045040000005,442.001403809,-3804
0.65,1.44,-0.021400001,243.02,481.22,125.93,338.31,3235.989985753497,6.95,278.47,-60.5,-60.5,10.0,1.07192,15.2658805847,-11.487231,39928.61176,433.432952881,-3845
0.65,1.42,-0.0242,216.56,524.83,94.2,320.86,3266.4186106802827,6.94,251.26,-59.5,-60.5,10.0,1.07192,27.1922512054,-11.617123,40181.667330000004,421.198699951,-3968
0.73,1.61,-0.0359,185.7,570.81,57.64,311.19,3298.1091087793416,7.88,224.28,-58.5,-60.5,10.0,0.954951,33.8069496155,-12.522891,38691.78391,407.035614014,-3925
0.73,1.6,-0.0484,165.34,618.62,28.37,310.6,3331.019891979404,7.91,198.78,-57.5,-60.5,10.0,0.954951,32.9574165344,-13.670697,37163.154600000016,393.416717529,-3809
0.73,1.62,-0.050700001,142.31,667.87,8.24,319.72,3365.1093567290686,7.92,185.0,-56.5,-60.5,10.0,0.954951,26.239900589,-14.385585999999998,33515.583040000005,382.438232422,-3376
0.72,1.45,-0.044599999,124.28,718.24,47.38,337.89,3400.336030307752,7.94,172.99,-55.5,-60.5,10.0,0.954951,18.0692310333,-14.501957999999998,29464.691160000002,374.924438477,-3003
0.75,1.5,-0.041499998,113.47,769.51,76.32,363.51,3399.1361000324423,8.21,155.26,-54.5,-60.5,11.0,0.954951,12.3017101288,-14.432792999999998,24152.18353,370.398803711,-2676
0.73,1.45,-0.049199998,126.98,821.5,49.34,394.79,3344.766857732144,8.06,138.88,-53.5,-60.5,11.0,0.954951,11.1652975082,-14.945727,19226.65596,368.141845703,-2085
0.75,1.51,-0.062899999,158.72,874.06,35.51,430.29,3290.297295786549,8.23,138.99,-52.5,-60.5,11.0,0.954951,13.996884346,-16.557491,18435.70709,368.030487061,-2286
0.73,1.46,-0.068700001,200.19,927.1,8.53,468.97,3235.7357523080373,8.0,158.53,-51.5,-60.5,11.0,0.954951,18.5458946228,-18.565348999999998,18299.32976,369.971405029,-2726
0.74,1.48,-0.059099998,246.53,980.51,15.26,510.05,3181.090867616385,8.07,191.64,-50.5,-60.5,11.0,0.954951,22.5871086121,-19.381035999999998,18335.102079999997,372.594024658,-2601
1.33,1.33,-0.0447,295.44,1034.24,17.34,552.99,3126.371612817841,8.41,232.58,-49.5,-60.5,11.0,0.954951,25.1790466309,-18.395848,18489.92348,372.873779297,-2266
